id,cc_cons
6975,4814.35733815605
43223,7269.753512865471
45502,3864.0280484462255
12368,3656.0771479917908
40415,5099.067690507887
31659,7946.180709731161
19585,5531.819964425995
11889,5843.930077275866
43494,11777.068938704193
2536,2630.2877862366204
16896,4553.337547483283
23422,10911.351967392688
31074,6070.451299019522
32409,13492.556757123433
29846,745.6738139513475
4046,7718.162135887727
41350,1003.0121786435539
24530,2859.3511602074923
20128,3682.8252887387875
25389,9833.521142864725
8913,10766.855177477582
41126,3004.7366593864986
19678,11320.556488928672
1907,3446.237724938733
22003,6686.038249469704
1177,2242.274635193549
13941,3517.1161990451687
19473,4489.38917171051
42500,6576.160326930388
3878,4580.6050857208875
8973,8328.537493890819
9938,6863.065769075108
38581,3030.103422276294
41728,7467.473867003551
42180,4183.339962179962
23022,2933.6403403032723
29322,12008.636655546676
38371,6074.045819355168
14582,13642.453935967973
37012,1825.6984516218497
7993,4594.643073440682
32720,5419.643053921155
46172,11284.736031702922
2646,13212.927912789204
12238,12346.840138991676
17793,6041.725193302447
1661,6768.429420119191
30028,3071.0313294976713
38142,8066.938356521008
21187,1581.5786638579918
32066,2710.6981616363055
39689,5128.369149374668
44715,5152.481247296657
766,2089.3022506306875
38216,7629.576754903615
10622,18125.754786453177
42913,12447.210675574617
18904,3938.607195683803
19555,2526.2337621606916
24285,2973.9119549860925
13852,8231.361179105164
22599,12538.850981772504
18045,3688.754253084304
33600,2821.4556039886475
18103,19485.92385169807
7314,7369.485880898306
26516,8936.8545988446
46770,3129.534533691277
9126,11569.125603091405
46819,7337.313062563186
10517,4697.121623184168
45647,2432.3947873510124
26740,6725.844640962559
42782,2896.9078539260186
12493,3174.347027081879
27311,10013.809524280352
11428,5301.799843807911
24193,6934.734127526708
22723,3181.769156870245
14362,5489.7630159017135
17572,10506.662300195421
26477,11720.315819179785
21283,3505.4460902477094
7599,7566.304970746582
33989,1931.687260635133
14945,2295.6887032812742
18531,7414.060554542734
34513,4133.8717904008545
12426,4520.274389891063
41416,4614.585834469524
31245,6867.854364625018
980,3322.0027502760345
7462,3146.613531528011
26616,7227.50331433058
1197,12582.097183954036
11644,14139.26623947162
8146,2661.7999147327414
29429,2510.4980633599444
24599,2746.7905055535857
30209,2509.491210912548
11455,6116.1329151173995
27200,3610.68960762598
2399,6424.50431294286
45233,6772.857501632141
10849,3488.800153498084
115,1624.5212108716232
31237,1911.3211168048651
21669,11451.64716371305
9174,6975.83813800298
27083,2779.9118371422305
7213,9370.9880640932
28851,4821.739897358363
42749,11767.719367252981
16742,11747.736014771694
35267,4983.438061639069
43984,3267.283276987912
7010,8825.611611998916
14426,1843.2020095490484
19816,4979.056886599716
39466,4686.162130531831
18829,4200.647874610415
14473,6272.062158315539
46767,6150.4076748583375
45144,3580.1015544604847
44345,21927.555179749623
11714,4378.718252976078
13403,6407.2754717401995
31814,3818.869047274913
43508,5278.508539620467
23906,3881.873198803255
2811,5606.226276599709
40103,15419.67455408369
18600,9843.968638391583
4014,7102.061614541555
13951,5478.971213769077
15102,4110.139667918781
32381,13322.155426411451
3813,8326.654710670799
28707,9857.238819633543
349,7757.900513341674
12470,9679.62143233196
19094,10375.834286224435
7929,15719.966463506784
46048,6125.4345665171295
17261,18099.2772031325
46725,9201.05695109327
43947,8373.925546583605
17002,14115.714933036446
17779,5638.113442868763
42113,7123.318791307143
35665,962.1952975948693
18909,3112.7716728377463
20179,2518.208817012778
11405,3273.987409237308
33245,4131.50635402502
18703,5208.386638172044
27819,4712.743926008751
45040,9321.651940520936
43672,4653.876550214367
7487,16753.67930213689
23293,7167.976776272733
9722,7555.067116444583
19191,5929.97846736457
33640,2005.0588399714875
15760,9149.271114779998
3239,2532.3682262301677
7870,9247.797765194833
6688,5179.151311097809
43489,3277.6027683567363
44820,6931.360188818393
39063,4733.2461499439305
2786,3700.7481841986973
32090,4508.959109017222
29498,9652.026701891647
9932,11922.759205895036
1603,4041.688950913588
16911,2675.3179407793955
42880,2373.4139756886016
35345,3113.8658075646654
5669,6749.792892311357
540,5987.352678380152
15257,9617.058108453894
46065,2831.5196314360396
35233,6229.676881384752
39124,5299.3005187857525
3078,2538.795575498206
11166,150.6193254631406
23888,7449.373078351462
1764,1889.2548945902704
32624,3314.350713288816
40688,7615.792196135982
43431,15648.489508482842
36001,3138.907507149805
46485,5027.034217637104
22511,5232.801300735977
43122,2474.585311385111
26286,3863.41842862083
42183,6565.505760534622
38290,3844.235261506292
19009,1891.3609828532153
16891,3144.399001160862
40752,4472.826589046522
24661,5793.318580585793
35672,3998.4974184531457
26540,10805.35072121946
46267,5548.707181713924
6241,2789.9038461919954
9430,5393.868099255238
9346,2174.88935284475
14187,5863.713075523881
43717,3886.554258105827
33800,7164.3541548489575
13659,2603.5706061630035
34065,6484.150864593885
20311,2247.2494970032812
14862,14829.792535590637
32534,3502.5257736120566
45483,5367.64744890325
17060,3505.7126083868966
22610,1375.5503922341115
5730,12798.62267700405
11618,4494.610282515986
32612,7251.211040256724
37501,7320.109837704634
20402,8097.083662437638
25172,13159.025400115865
29751,4854.051085120849
28110,10225.316944059708
9414,1829.303399153891
36448,9295.031492275077
43249,4952.842959452555
27037,4834.886593770407
45457,2339.9591406903864
2730,2889.2209395139544
15069,5811.599966013765
37020,10997.459565345278
11641,8470.76952578175
21182,9073.81371496453
40538,4887.105369831152
37459,5536.361091795243
38762,4487.671726769736
36698,2793.140395196588
44287,10919.607544464909
748,4675.653972046277
8029,8384.443331335291
18867,4921.1102480511145
6783,2310.776598969261
18325,9993.458266791627
40462,3876.037893233506
13380,3848.820318825635
33060,8756.604801809308
37739,2054.87628671368
39637,10512.736752009427
36528,5197.775131642649
37258,3961.3797193700666
6826,7571.637337701626
25874,3503.5148263474243
34733,5468.439386038636
585,3456.6708479017916
11908,8338.452613690137
25725,5886.647523093467
11540,4737.642249063881
46396,5197.890935814737
28322,3807.027851960359
18382,7542.79481372669
9507,15401.833160678256
10942,3054.20301755468
31220,4164.516629052929
1190,3306.792963308091
13723,3403.617465195367
28899,4900.344659912219
44063,10769.99857332134
35700,4517.822763242762
24170,6661.321683390905
1609,10232.327866620204
17549,9615.581389940651
46749,3967.4541906418012
33920,3148.339374686464
36734,6676.493733694573
45250,2500.430523256378
30114,3859.867894568956
36979,11971.424522402407
36199,5502.06916477291
15539,12002.078069645962
6082,4351.083772333831
15586,7941.8159449326495
17325,3339.204103502389
32459,14303.972187951265
8808,9419.243958282666
32429,6060.089480844894
26739,4321.097867890627
32641,2868.2825483417337
12104,6307.50411660423
5986,8705.435921831562
39650,6332.926726874866
40848,4854.274884765072
12472,2482.598732679764
20762,10888.985113926004
39422,6225.023467731215
14822,6762.998759608938
37142,8576.128827445424
3205,12474.698430133007
21640,6023.858281520909
2234,1960.70850866536
23606,4374.830495115684
17423,5086.504816601401
40828,10301.395985735066
33985,3187.6614339094704
45721,1262.7600046918938
40436,5398.6723724563335
15813,7249.829762808304
14092,15625.222300162199
30509,14274.691689480747
34050,3479.9905145205835
21741,5525.616108076336
36527,3746.727864029862
8854,9459.22706512319
10859,7839.998781717841
706,2831.1523999826195
43976,5534.067742274755
43978,5947.089743398194
7322,11246.602466593748
28071,2719.6680709872285
12528,2885.9926246023037
26871,4539.765294581158
24476,2546.5777984795377
422,3766.528725545106
30157,10354.684627673261
14281,9660.67402520516
42520,5352.314940443597
3625,3063.386340032244
33366,3208.2432839787257
34675,16905.470859125064
39319,11423.818104121743
46573,2933.157853979259
44389,3917.3205185433644
41395,9673.542069607505
3809,1676.2145763484891
18331,3896.4594600808423
30478,8521.700495352006
14623,1794.489880327468
18825,7451.822167005231
16354,9785.44112223726
22670,3482.161398402483
8387,17301.257530854797
36491,2429.195703141935
42008,2219.419753396838
10573,3707.377408309209
20914,2826.8469824383446
20255,4390.050904320234
26022,3346.7041150030086
46674,5748.852315685921
